run_id,label,dice,tau_star,old_cldice,anomalous
ablation_v2_A_baseline,A: Baseline,0.8061098456382751,0.5,1.0,True
ablation_v2_B_lfd_gate,B: +LFD Gate,0.8056743144989014,0.5,0.5000001549720764,False
ablation_v2_C_lfd_spade1,C: +SPADE v1,0.8105420470237732,0.5,0.6934378226598104,False
ablation_v2_D_pde_spade2,D: +PDE SPADE v2,0.8110371828079224,0.5,0.5543575922648112,False
ablation_v2_E_hessian,E: +Hessian,0.8104681968688965,0.5,0.678956949710846,False
ablation_v2_F_skel_recall,F: +Skel Recall,0.8094330430030823,0.6,0.7315070311228434,False
ablation_v2_G_fractal_bce,G: +Fractal BCE,0.8090759515762329,0.55,0.6002069592475892,False
ablation_v2_H_full,H: Full Stack,0.8089631199836731,0.55,0.6103336572647095,False
opt_A_pde15,OPT-A: PDE 15 steps,0.824739933013916,0.8,,False
opt_B_finer_lfd,OPT-B: Finer LFD,0.8309545516967773,0.75,,False
opt_C_spade64_skel,OPT-C: SPADE64+Skel,0.8226678967475891,0.8,,False
opt_D_longer,OPT-D: 100ep,0.841331958770752,0.7,,False
opt_D_v2_200ep,OPT-D v2: 200ep,0.841331958770752,0.7,,False
xdataset_fives_baseline,XD: FIVES Baseline,0.8212030529975891,0.8,,False
xdataset_fives_fractal,XD: FIVES Fractal,0.834831714630127,0.75,,False
xdataset_fives_configF,XD: FIVES Config F,0.8339017033576965,0.7,,False
